airline ID,name,iata,icao,country,active
1825,Columbia Helicopters,None,Wco,United States,N
1826,Columbus Air Transport,None,Klr,United States,N
1827,Colvin Aviation,None,Ghp,United States,N
1828,Comair,Oh,Com,United States,Y
1829,Comair,Mn,Caw,South Africa,Y
1830,Comed Group,None,Cde,United Kingdom,N
1831,Comeravia,None,Cvv,Venezuela,N
1832,Comercial Aerea,None,Crs,Mexico,N
1833,Comet Airlines,None,Cmg,Nigeria,N
1834,Comfort Air,None,Fyn,Germany,N
1835,Comlux Aviation,None,Cla,Switzerland,N
1836,Commair Aviation,None,Cmh,United Kingdom,N
1837,Commandement Du Transport Aerien Militaire Francais,None,Ctm,France,N
1838,Commander Air Charter,None,Cml,Canada,N
1839,Commander Mexicana,None,Crm,Mexico,N
1840,Commercial Aviation,None,Cms,Canada,N
1841,Commodore Aviation,None,Gar,Australia,N
1842,Commonwealth Jet Service,None,Cjs,United States,N
1843,Commutair,C5,Uca,United States,Y
1844,Comores Airlines,Kr,Cwk,Comoros,Y
1845,Compagnia Generale Ripreseaeree,None,Cgr,Italy,N
1846,Compagnie Aerienne Du Mali,None,Cmm,Mali,N
1847,Compagnie Mauritanienne Des Transports,None,Cpm,Mauritania,N
1848,Compagnie De Bauxites De Guinee,None,Gic,Guinea,N
1849,Compania Aerea De Valencia,None,Aif,Spain,N
1850,Compania Aerotecnicas Fotograficas,None,Atf,Spain,N
1851,Compania Boliviana De Transporte Aereo Privado Aerosur,None,Asu,Asur,N
1852,Compania De Actividades Y Servicios De Aviacion,None,Lct,Spain,N
1853,Compania Ejecutiva,None,Ejv,Mexico,N
1854,Compania Helicopteros Del Sureste,None,Hse,Spain,N
1855,Compania Mexicana De Aeroplanos,None,Mdr,Mexico,N
1856,Compania Mexicargo,Gj,Mxc,Mexico,N
1857,Compania Transportes Aereos Del Sur,None,Hss,Spain,N
1858,Compania De Servicios Aereos Tavisa,None,Tav,Spain,N
1859,Company Flight,None,Cyf,Denmark,N
1860,Compass Airlines,Cp,Cpz,United States,Y
1861,Compass International Airways,None,Cps,United Kingdom,N
1862,Compuflight Operations Service,None,Xco,United States,N
1863,Compuserve Incorporated,None,Xcs,United States,N
1864,Conair Aviation,None,Crc,Canada,N
1865,Concordavia,None,Cod,Ukraine,N
1866,Condor Aero Services,None,Cnr,United States,N
1867,Condor,None,Cib,Germany,N
1868,Condor Flugdienst,De,Cfg,Germany,Y
1869,Confort Air,None,Cof,Canada,N
1870,Congo Air,None,Cak,Bahamas,N
1871,Congressional Air,None,Cga,United States,N
1872,Conifair Aviation,None,Roy,Canada,N
1873,Connectair Charters,None,Bsn,Canada,N
1874,Conquest Airlines,None,Cac,United States,N
1875,Conroe Aviation Services,None,Cxo,United States,N
1876,Consorcio Aviaxsa,6A,Chp,Mexico,Y
1877,Consorcio Helitec,None,Vch,Venezuela,N
1878,Constanta Airline,None,Uza,Ukraine,N
1879,Contact Air,C3,Kis,Germany,Y
1880,Contel Asc,None,Xcl,United States,N
1881,Continental Airlines,Co,Coa,United States,Y
1882,Continental Airways,Pc,Pvv,Russia,N
1883,Continental Express,Co,None,United States,Y
1884,Continental Micronesia,Cs,Cmi,United States,Y
1885,Continental Oil,None,Con,United States,N
1886,Conviasa,V0,Vcv,Venezuela,Y
1887,Cook Inlet Aviation,None,Cka,United States,N
1888,Cooper Aerial Surveys,None,Svy,United Kingdom,N
1889,Copa Airlines,Cm,Cmp,Panama,Y
1890,Copenhagen Airtaxi,None,Cat,Denmark,N
1891,Copper State Air Service,None,Cop,United States,N
1892,Copterline,None,Aaq,Finland,Y
1893,Coptrade Air Transport,None,Ccw,Sudan,N
1894,Corendon Airlines,None,Cai,Turkey,Y
1895,Coronado Aerolineas,None,Cra,Colombia,N
1896,Corpac Canada,None,Cpb,Canada,N
1897,Corporacion Aereo Cencor,None,Cnc,Mexico,N
1898,Corporacion Aeroangeles,None,Cpg,Mexico,N
1899,Corporacion Paraguaya De Aeronautica,None,Cgy,Paraguay,N
1900,Corporate Air,None,Cpt,United States,N
1901,Corporate Air,None,Cpr,United States,N
1902,Corporate Aircraft Company,None,Cpo,United States,N
1903,Corporate Airlink,None,Coo,Canada,N
1904,Corporate Aviation Services,None,Cke,United States,N
1905,Corporate Flight International,None,Vht,United States,N
1906,Corporate Flight Management,None,Vte,United States,N
1907,Corporate Jets,None,Cji,United States,N
1908,Corsairfly,Ss,Crl,France,Y
1909,Corse-Mediterranee,Xk,Ccm,France,Y
1910,Cosmic Air,F5,Coz,Nepal,N
1911,Cougar Helicopters,None,Chi,Canada,N
1912,Coulson Flying Service,None,Mgb,United Kingdom,N
1913,Country Connection Airlines,None,Nsw,Australia,N
1914,Country International Airlines,None,Cik,Kyrgyzstan,N
1915,Courier Services,None,Csd,United States,N
1916,Court Helicopters,None,Cut,South Africa,N
1917,Coval Air,None,Cvl,Canada,N
1918,Cowi,None,Cow,Netherlands,N
1919,Coyne Aviation,None,Coy,United Kingdom,N
1920,Cranfield University,None,Cfd,United Kingdom,N
1921,Cree Airways,None,Cre,Canada,N
1922,Crelam,None,Elm,Mexico,N
1923,Crest Aviation,None,Can,United Kingdom,Y
1924,Crimea Universal Avia,None,Krm,Ukraine,N
1925,Croatia Airlines,Ou,Ctn,Croatia,Y
1926,Croatian Air Force,None,Hrz,Croatia,N
1927,Cross Aviation,None,Crx,United Kingdom,N
1928,Crossair Europe,Qe,Ecc,Switzerland,N
1929,Crow Executive Air,None,Cwx,United States,N
1930,Crown Air Systems,None,Ckr,United States,N
1931,Crown Airways,None,Cro,United States,Y
1932,Crownair,None,Crw,Canada,N
1933,Cruiser Linhas Aereas,None,Vcr,Brazil,N
1934,Cryderman Air Service,None,Cty,United States,N
1935,Crystal Shamrock,None,Cyt,United States,N
1936,Cubana De Aviación,Cu,Cub,Cuba,Y
1937,Cumberland Airways (Nicholson Air Service),None,Cbl,United States,N
1938,Custom Air Transport,None,Ctt,United States,N
1939,Cygnus Air,None,Rgn,Spain,N
1940,Cyprair Tours,None,Cyc,Cyprus,N
1941,Cypress Airlines,None,Cys,Canada,N
1942,Cyprus Airways,Cy,Cyp,Cyprus,Y
1943,Cyprus Turkish Airlines,Yk,None,Turkey,Y
1944,Czech Air Force,None,Cef,Czech Republic,N
1945,Czech Air Handling,None,Ahd,Czech Republic,N
1946,Czech Airlines,Ok,Csa,Czech Republic,Y
1947,Czech Government Flying Service,None,Cie,Czech Republic,N
1948,D & D Aviation,None,Dda,United States,N
1949,D&K Aviation,None,Dnk,United States,N
1950,Dap Helicopteros,None,Dhe,Chile,N
1951,Dfs Uk Limited,None,Vlf,United Kingdom,N
1952,Das Air Cargo,Wd,Dsr,Uganda,N
1953,Das Airlines,None,Rkc,Democratic Republic Of The Congo,N
1954,Dat Danish Air Transport,Dx,Dtr,Denmark,Y
1955,Dat Enterprise Limited,None,Ent,United Kingdom,N
1956,Dera Boscombe Down,None,Bdn,United Kingdom,N
1957,Desna,None,Dsn,Ukraine,N
1958,Deta Air,None,Det,Kazakhstan,N
1959,Dgo Jet,None,Dgo,Mexico,N
1960,Dhl Aero Expreso,None,Dae,Panama,N
1961,Dhl Air,None,Dhk,United Kingdom,N
1962,Dhl Aviation,None,Dhv,South Africa,N
1963,Dhl International,Es,Dhx,Bahrain,N
1964,Dhl De Guatemala,L3,Jos,Guatemala,N
1965,Dswa,None,Rsk,United States,N
1966,Daallo Airlines,D3,Dao,Djibouti,Y
1967,Dagestan Airlines,N2,Dag,Russia,N
1968,Dahla Airlines,None,Dha,Democratic Republic Of Congo,N
1969,Daimler Chrysler Aviation,None,Dcs,Germany,N
1970,Daimler-Chrysler,None,Dcx,United States,N
1971,Daka,None,Dka,Kazakhstan,N
1972,Dala Air Services,None,Dlr,Nigeria,N
1973,Dalavia,H8,Khb,Russia,Y
1974,Dallas Express Airlines,None,Dxp,United States,N
1975,Damascene Airways,None,Das,Syrian Arab Republic,N
1976,Danbury Airways,None,Dsa,United States,N
1977,Dancopter,None,Dop,Denmark,N
1978,Danish Air Force,None,Daf,Denmark,N
1979,Danish Army,None,Dar,Denmark,N
1980,Danish Navy,None,Dny,Denmark,N
1981,Danu Oro Transportas,None,Dnu,Lithuania,N
1982,Darta,None,Drt,France,N
1983,Darwin Airline,0D,Dwt,Switzerland,Y
1984,Dasab Airlines,None,Dsq,Uganda,N
1985,Dash Air Charter,None,Dsh,United States,N
1986,Dash Aviation,None,Gob,United Kingdom,N
1987,Dasnair,None,Dgx,Switzerland,N
1988,Dassault Aviation,None,Dab,France,N
1989,Dassault Falcon Jet Corporation,None,Cvf,United States,N
